Tag,ChemicalName,SMILES,MW (g/mol),logP,carboxyl (mmol/g),carboxylate (mmol/g),hydroxyl (mmol/g),ether (mmol/g),ester (mmol/g),epoxy (mmol/g),amide (mmol/g),cyano (mmol/g),amine (mmol/g),ammonium (mmol/g),phenyl (mmol/g),methyl (mmol/g),methylene (mmol/g),methyne (mmol/g),quat_carbon (mmol/g),vinyl (mmol/g),asetylene (mmol/g),siloxane (mmol/g)
iBMA,CC(C)COC(=O)C(=C)C,*CC(*)(C)C(=O)OCC(C)C,142.19799999999998,1.8811,0.0,0.0,0.0,0.0,7.0324477137512496,0.0,0.0,0.0,0.0,0.0,0.0,21.09734314125375,14.0648954275025,7.0324477137512496,7.0324477137512496,0.0,0.0,0.0
nBMA,CC(C)COC(=O)C(=C)C,*CC(*)(C)C(=O)OCC(C)C,142.19799999999998,1.8811,0.0,0.0,0.0,0.0,7.0324477137512496,0.0,0.0,0.0,0.0,0.0,0.0,21.09734314125375,14.0648954275025,7.0324477137512496,7.0324477137512496,0.0,0.0,0.0
nBA,CCCCOC(=O)C=C,*CC(*)C(=O)OCCCC,128.171,1.6351,0.0,0.0,0.0,0.0,7.802076912874208,0.0,0.0,0.0,0.0,0.0,0.0,7.802076912874208,31.20830765149683,7.802076912874208,0.0,0.0,0.0,0.0
iBA,CC(C)COC(=O)C=C,*CC(*)C(=O)OCC(C)C,128.17099999999996,1.491,0.0,0.0,0.0,0.0,7.80207691287421,0.0,0.0,0.0,0.0,0.0,0.0,15.60415382574842,15.60415382574842,15.60415382574842,0.0,0.0,0.0,0.0
tBA,CC(C)(C)OC(=O)C=C,*CC(*)C(=O)OC(C)(C)C,128.17099999999996,1.6335,0.0,0.0,0.0,0.0,7.80207691287421,0.0,0.0,0.0,0.0,0.0,0.0,23.40623073862263,7.80207691287421,7.80207691287421,7.80207691287421,0.0,0.0,0.0
tBMA,CC(=C)C(=O)OC(C)(C)C,*CC(*)(C)C(=O)OC(C)(C)C,142.19799999999998,2.0236,0.0,0.0,0.0,0.0,7.0324477137512496,0.0,0.0,0.0,0.0,0.0,0.0,28.129790855005,7.0324477137512496,0.0,14.0648954275025,0.0,0.0,0.0
2EHA,CCCCC(CC)COC(=O)C=C,*CC(*)C(=O)OCC(CC)CCCC,184.279,3.051400000000002,0.0,0.0,0.0,0.0,5.426554300815613,0.0,0.0,0.0,0.0,0.0,0.0,10.853108601631224,32.559325804893675,10.853108601631224,0.0,0.0,0.0,0.0
LMA,CCCCCCCCCCCCOC(=O)C(=C)C,*CC(*)(C)C(=O)OCCCCCCCCCCCC,254.41399999999987,5.146000000000005,0.0,0.0,0.0,0.0,3.930601303387394,0.0,0.0,0.0,0.0,0.0,0.0,7.861202606774788,47.16721564064873,0.0,3.930601303387394,0.0,0.0,0.0
IDMA,CC(C)CCCCCCCOC(=O)C(=C)C,*CC(*)(C)C(=O)OCCCCCCCC(C)C,226.36,4.221700000000004,0.0,0.0,0.0,0.0,4.417741650468282,0.0,0.0,0.0,0.0,0.0,0.0,13.253224951404846,35.34193320374626,4.417741650468282,4.417741650468282,0.0,0.0,0.0
CHMA,CC(=C)C(=O)OC1CCCCC1,*CC(*)(C)C(=O)OC1CCCCC1,168.23599999999993,2.5578000000000003,0.0,0.0,0.0,0.0,5.944031004065719,0.0,0.0,0.0,0.0,0.0,0.0,5.944031004065719,35.66418602439432,5.944031004065719,5.944031004065719,0.0,0.0,0.0
THFMA,CC(=C)C(=O)OCC1CCCO1,*CC(*)(C)C(=O)OCC1CCCO1,170.20799999999994,1.4041,0.0,0.0,0.0,0.0,5.875164504606131,0.0,0.0,0.0,0.0,0.0,0.0,5.875164504606131,29.375822523030656,5.875164504606131,5.875164504606131,0.0,0.0,0.0
PhOMA,2495-37-6,*CC(*)(C)C(=O)OCc1ccccc1,176.215,2.425300000000001,0.0,0.0,0.0,0.0,5.674885792923417,0.0,0.0,0.0,0.0,0.0,5.674885792923417,5.674885792923417,11.349771585846836,0.0,5.674885792923417,0.0,0.0,0.0
PhOEMA,"10595-06-9
",*CC(*)(C)C(=O)OCCOc1ccccc1,206.241,2.3041,0.0,0.0,0.0,0.0,4.848696427965341,0.0,0.0,0.0,0.0,0.0,4.848696427965341,4.848696427965341,14.546089283896023,0.0,4.848696427965341,0.0,0.0,0.0
St,styrene,*CC(*)c1ccccc1,104.15199999999996,2.2446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.601351870343349,0.0,9.601351870343349,9.601351870343349,0.0,0.0,0.0,0.0
DE,"105-16-8
",*CC(*)(C)C(=O)OCCN(CC)CC,185.267,1.5669,0.0,0.0,0.0,0.0,5.39761533354564,0.0,0.0,0.0,5.39761533354564,0.0,0.0,16.192846000636923,26.9880766677282,0.0,5.39761533354564,0.0,0.0,0.0
MA,methyl acrylate,*CC(*)C(=O)OC,86.08999999999999,0.4648,0.0,0.0,0.0,0.0,11.615750958299456,0.0,0.0,0.0,0.0,0.0,0.0,11.615750958299456,11.615750958299456,11.615750958299456,0.0,0.0,0.0,0.0
EA,ethyl acrylate,*CC(*)C(=O)OCC,100.117,0.8549,0.0,0.0,0.0,0.0,9.988313673002589,0.0,0.0,0.0,0.0,0.0,0.0,9.988313673002589,19.976627346005177,9.988313673002589,0.0,0.0,0.0,0.0
MAA,methacrylic acid,*CC(*)(C)C(=O)O,86.08999999999997,0.7665,11.615750958299458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.615750958299458,11.615750958299458,0.0,11.615750958299458,0.0,0.0,0.0
AN,acrylonitrile,*CC(*)C#N,53.06399999999999,0.81538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.84516809889945,0.0,0.0,0.0,0.0,18.84516809889945,18.84516809889945,0.0,0.0,0.0,0.0
VAc,vinyl acetate,*CC(*)OC(C)=O,86.08999999999999,0.3924999999999999,0.0,0.0,0.0,0.0,11.615750958299456,0.0,0.0,0.0,0.0,0.0,0.0,11.615750958299456,11.615750958299456,11.615750958299456,0.0,0.0,0.0,0.0
VCl,vinyl chloride,*CC(*)Cl,62.499,1.0682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.000256004096066,16.000256004096066,0.0,0.0,0.0,0.0
PP,propylene,*CC(*)C,42.081,1.3117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.76369382856872,23.76369382856872,23.76369382856872,0.0,0.0,0.0,0.0
PE,ethylene,*CC*,28.053999999999995,0.9216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.29108148570616,0.0,0.0,0.0,0.0,0.0
1-butene,1 butene,*CC(*)CC,56.10799999999999,1.7018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.82277037142654,35.64554074285308,17.82277037142654,0.0,0.0,0.0,0.0
3-methyl-1butene,3 methyl 1 butene,*CC(*)C(C)C,70.13499999999999,1.9478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.51643259428246,14.25821629714123,28.51643259428246,0.0,0.0,0.0,0.0
pentene,pentene,*CC(*)CCC,70.13499999999999,2.0919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.25821629714123,42.77464889142369,14.25821629714123,0.0,0.0,0.0,0.0
4methyl1pentene,4 methyl 1 pentene,*CC(*)CC(C)C,84.16199999999999,2.3379000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.76369382856872,23.76369382856872,23.76369382856872,0.0,0.0,0.0,0.0
1hexene,1 hexene,*CC(*)CCCC,84.16199999999999,2.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.881846914284358,47.52738765713743,11.881846914284358,0.0,0.0,0.0,0.0
octadecene,1 octadecene,*CC(*)CCCCCCCCCCCCCCCC,252.4859999999999,7.163200000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.960615638094787,63.36985020951659,3.960615638094787,0.0,0.0,0.0,0.0
