Name,Y value,logP,carboxyl (mmol/g),carboxylate (mmol/g),hydroxyl (mmol/g),ether (mmol/g),ester (mmol/g),epoxy (mmol/g),amide (mmol/g),cyano (mmol/g),amine (mmol/g),ammonium (mmol/g),phenyl (mmol/g),methyl (mmol/g),methylene (mmol/g),methyne (mmol/g),quat_carbon (mmol/g),vinyl (mmol/g),asetylene (mmol/g),siloxane (mmol/g)
vinyl propionate,10,0.7826,0.0,0.0,0.0,0.0,9.988313673002589,0.0,0.0,0.0,0.0,0.0,0.0,9.988313673002589,19.976627346005177,9.988313673002589,0.0,0.0,0.0,0.0
vinyl chloroacetate,31,0.6113999999999999,0.0,0.0,0.0,0.0,8.296345459824947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.592690919649893,8.296345459824947,0.0,0.0,0.0,0.0
vinyl benzoate,68,1.6864,0.0,0.0,0.0,0.0,6.749414488293142,0.0,0.0,0.0,0.0,0.0,6.749414488293142,0.0,6.749414488293142,6.749414488293142,0.0,0.0,0.0,0.0
vinyl pyridine,104,1.6396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.511128019783149,9.511128019783149,0.0,0.0,0.0,0.0
vinyl carbazole,208,3.879100000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.34934204057977,0.0,5.174671020289885,5.174671020289885,0.0,0.0,0.0,0.0
propyl acrylate,-44,1.245,0.0,0.0,0.0,0.0,8.760863470703674,0.0,0.0,0.0,0.0,0.0,0.0,8.760863470703674,26.28259041211102,8.760863470703674,0.0,0.0,0.0,0.0
isopropyl acrylate,0,1.2434,0.0,0.0,0.0,0.0,8.760863470703674,0.0,0.0,0.0,0.0,0.0,0.0,17.521726941407348,8.760863470703674,17.521726941407348,0.0,0.0,0.0,0.0
sec butyl acrylate,-20,1.6335,0.0,0.0,0.0,0.0,7.80207691287421,0.0,0.0,0.0,0.0,0.0,0.0,15.60415382574842,15.60415382574842,15.60415382574842,0.0,0.0,0.0,0.0
propyl methacrylate,35,1.6351,0.0,0.0,0.0,0.0,7.80207691287421,0.0,0.0,0.0,0.0,0.0,0.0,15.60415382574842,23.40623073862263,0.0,7.80207691287421,0.0,0.0,0.0
isopropyl methacrylate,52,1.6335,0.0,0.0,0.0,0.0,7.80207691287421,0.0,0.0,0.0,0.0,0.0,0.0,23.40623073862263,7.80207691287421,7.80207691287421,7.80207691287421,0.0,0.0,0.0
sec butyl methacrylate,60,2.0236,0.0,0.0,0.0,0.0,7.0324477137512496,0.0,0.0,0.0,0.0,0.0,0.0,21.09734314125375,14.0648954275025,7.0324477137512496,7.0324477137512496,0.0,0.0,0.0
octyl methacrylate,-20,3.585600000000003,0.0,0.0,0.0,0.0,5.042711768680728,0.0,0.0,0.0,0.0,0.0,0.0,10.085423537361455,40.34169414944582,0.0,5.042711768680728,0.0,0.0,0.0
hexyl methacrylate,-5,2.805400000000001,0.0,0.0,0.0,0.0,5.873646124568289,0.0,0.0,0.0,0.0,0.0,0.0,11.747292249136578,35.241876747409734,0.0,5.873646124568289,0.0,0.0,0.0
dodecyl methacrylate,-55,5.146000000000005,0.0,0.0,0.0,0.0,3.930601303387394,0.0,0.0,0.0,0.0,0.0,0.0,7.861202606774788,47.16721564064873,0.0,3.930601303387394,0.0,0.0,0.0
phenyl methacrylate,125,2.2875000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.165684267640023,6.165684267640023,6.165684267640023,0.0,6.165684267640023,0.0,0.0,0.0
methacrylonitrile,120,1.20548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.905128854838951,0.0,0.0,0.0,14.905128854838951,14.905128854838951,0.0,14.905128854838951,0.0,0.0,0.0
N-isopropylacrylamide,130,0.8163999999999998,0.0,0.0,0.0,0.0,0.0,0.0,8.837044892188054,0.0,0.0,0.0,0.0,17.674089784376108,8.837044892188054,17.674089784376108,0.0,0.0,0.0,0.0
ethylene oxide,-67,0.0166,0.0,0.0,0.0,22.699929630218147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.39985926043629,0.0,0.0,0.0,0.0,0.0
tetramethyleneoxide,-84,0.9382,0.0,0.0,0.0,13.86827908524831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.47311634099324,0.0,0.0,0.0,0.0,0.0
polyethylene adipate,-40,1.0651,0.0,0.0,0.0,0.0,5.807875479149728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.847252874898366,0.0,0.0,0.0,0.0,0.0
PET,69,1.4321,0.0,0.0,0.0,0.0,5.20372586772129,0.0,0.0,0.0,0.0,0.0,5.20372586772129,0.0,10.40745173544258,0.0,0.0,0.0,0.0,0.0
nylon6,40,0.7472999999999999,0.0,0.0,0.0,0.0,0.0,0.0,8.837044892188052,0.0,0.0,0.0,0.0,0.0,44.185224460940255,0.0,0.0,0.0,0.0,0.0
nylon7,52,1.1374,0.0,0.0,0.0,0.0,0.0,0.0,7.862438771258068,0.0,0.0,0.0,0.0,0.0,47.174632627548405,0.0,0.0,0.0,0.0,0.0
nylon8,51,1.5275,0.0,0.0,0.0,0.0,0.0,0.0,7.081450847649666,0.0,0.0,0.0,0.0,0.0,49.57015593354767,0.0,0.0,0.0,0.0,0.0
sample1,100,0.8894600000000001,0.0,0.0,6.242630228202817,0.0,6.74690140507089,0.0,0.0,0.0,0.0,0.0,0.0,13.99807398700985,15.51088751761407,6.74690140507089,6.74690140507089,0.0,0.0,0.0
sample2,100,2.493320000000002,0.0,0.0,0.0,0.0,7.599400100318906,0.0,0.0,0.0,0.0,0.0,0.0,15.198800200637812,24.650149380733268,0.0,7.599400100318906,0.0,0.0,0.0
